Type of Crisis,release_year,title
Africa,1960,"['Psycho', 'Psycho', 'Psycho', 'Psycho', 'Psycho', 'Peeping Tom', 'Peeping Tom', 'Peeping Tom', 'Peeping Tom', 'Peeping Tom', 'Village of the Damned', 'Village of the Damned', 'Village of the Damned', 'Village of the Damned', 'Village of the Damned', 'The Brides of Dracula', 'The Brides of Dracula', 'The Brides of Dracula', 'The Brides of Dracula', 'The Brides of Dracula', '13 Ghosts', '13 Ghosts', '13 Ghosts', '13 Ghosts', '13 Ghosts', 'Eyes Without a Face', 'Eyes Without a Face', 'Eyes Without a Face', 'Eyes Without a Face', 'Eyes Without a Face']"
Africa,1962,['What Ever Happened to Baby Jane?']
Africa,1964,"['Onibaba', 'Onibaba']"
Africa,1967,"['The Fearless Vampire Killers', 'Wait Until Dark', 'Viy']"
Africa,1969,"['Marquis de Sade: Justine', 'Marquis de Sade: Justine']"
Africa,1973,['The Exorcist']
Africa,1974,"['The Texas Chain Saw Massacre', 'The Texas Chain Saw Massacre', 'Black Christmas', 'Black Christmas']"
Africa,1975,"['Jaws', 'Jaws', 'Deep Throat in Tokyo', 'Deep Throat in Tokyo', 'The Rocky Horror Picture Show', 'The Rocky Horror Picture Show']"
Africa,1976,"['Rape!', 'Carrie', 'Salò, or the 120 Days of Sodom']"
Africa,1977,"['Exorcist II: The Heretic', 'Exorcist II: The Heretic', 'Exorcist II: The Heretic', 'Suspiria', 'Suspiria', 'Suspiria', 'Call of the Blonde Goddess', 'Call of the Blonde Goddess', 'Call of the Blonde Goddess', 'Emanuelle and the Last Cannibals', 'Emanuelle and the Last Cannibals', 'Emanuelle and the Last Cannibals']"
Africa,1978,"['Halloween', 'Halloween', 'Dawn of the Dead', 'Dawn of the Dead', 'Day of the Woman', 'Day of the Woman', 'Damien: Omen II', 'Damien: Omen II']"
Africa,1979,"['Alien', 'Alien', 'Alien', 'The Amityville Horror', 'The Amityville Horror', 'The Amityville Horror']"
