Unnamed: 0,Crisis,Year,Type of Crisis,Full Date
1,Rashidi–Saudi War (1903–1921),1903,Middle East,
2,"The Mexican Revolution (1910–1920) Francsico Madero proclaims the elections of 1910 null and void and calls for an armed revolution at 6 p.m. against the illegitimate presidency/dictatorship of Porfirio Díaz. The revolution led to the ousting of Díaz (who ruled from 1876 to 1880 and since 1884) six months later. The revolution progressively became a civil war with multiple factions and phases, culminating with the Mexican Constitution of 1917, but combat would persist for three more years.",1910,South America,
3,"Portugal became the first republican country in the century after the 5 October 1910 revolution, ending its long-standing monarchy and creating the First Portuguese Republic in 1911.",1910,Europe,
4,"Dissolution of the German colonial empire, Ottoman Empire, Austria-Hungary and the Russian Empire, reorganization of European states, territorial boundaries, and the creation of several new European states and territorial entities: Austria, Czechoslovakia, Estonia, Finland, Free City of Danzig, Hungary, Latvia, Lithuania, Poland, Saar, Ukraine, and Yugoslavia.",1910,Europe,
5,"Several nations in Eastern Europe get their nation-state, thereby replacing major multiethnic empires.",1910,Europe,
6,"Islamic movements, such as Liberal Islam and Islamic modernism, that reject orthodox beliefs to varying degrees are at their most prominent position yet.",1910,Middle East,
7,"In the years 1910 and 1911, there was a minor economic depression known as the Panic of 1910–1911, which was followed by the enforcement of the Sherman Anti-Trust Act.",1910,Economics,
8,Edith Smith Davis edits the Temperance Educational Quarterly.,1910,Cultural,
9,"Hollywood, California, replaces the East Coast as the center of the movie industry.",1910,Cultural,
10,Wadai War (1909–1911),1911,Middle East,
11,Italo-Turkish War (1911–1912),1911,Europe,
12,"On the death of Edward VII, his son George V becomes King of the United Kingdom and the British Dominions, and Emperor of India. The Coronation of George V and Mary takes place on 22 June 1911.",1911,England,
13,"Hiram Bingham rediscovers Machu Picchu on July 24, 1911.",1911,Cultural,
14,"The army tank was invented. Tanks in World War I were used by the British Army, the French Army and the German Army.[12]",1911,Technology,
15,First Balkan Wars (1912–1913) – two wars that took place in South-eastern Europe in 1912 and 1913.,1912,Europe,
16,"Seventeenth Amendment to the United States Constitution is passed, requiring US senators to be directly elected rather than appointed by the state legislatures.",1912,Legal,
17,"The Republic of China was established on January 1, 1912.",1912,Asia ,
18,"The RMS Titanic, a British ocean liner which was the largest and most luxurious ship at that time, struck an iceberg and sank two hours and 40 minutes later in the North Atlantic during its maiden voyage on April 15, 1912. 1,517 people perished in the disaster.",1912,Cultural,
19,"In 1912 articulated trams, were invented and first used by the Boston Elevated Railway.",1912,Technology,
20,"In 1912, Alfred Wegener puts forward his theory of continental drift.[",1912,Science  ,1953-01-20 00:00:00
21,"The first U.S. feature film, Oliver Twist, was released in 1912.",1912,Cultural,7/1953 - 5/1954
22,"The first mob film, D. W. Griffith's The Musketeers of Pig Alley, was released in 1912.",1912,Cultural,
23,"The Salvation Army has a new international leader, General Bramwell Booth who served from 1912 to 1929. He replaces his father and co-founder of the Christian Mission (the forerunner of the Salvation Army), William Booth.",1912,Cultural,
24,"Summer Olympics were held in Stockholm, Sweden.",1912,Sports,
25,United States occupation of Nicaragua (1912–1933),1912,Politics,
26,Saudi-Ottoman War (1913),1913,Middle East,
27,"Federal Reserve Act is passed in 1913 by the United States Congress, establishing a Central Bank in the US.",1913,Legal,
28,The first crossword puzzle was published 21 December 1913 appearing in The New York World newspaper.,1913,Cultural,
29,The comic strip Krazy Kat begins.,1913,Cultural,
30,World War I (1914–1918),1914,Europe,
31,The assassination of Archduke Franz Ferdinand of Austria-Hungary in Sarajevo leads to the outbreak of the First World War.,1914,Politics,
32,Zionism becomes more popular after the Balfour Declaration.,1914,Middle East,
33,"On May 29, 1914, the British ocean liner RMS Empress of Ireland collided in thick fog with the SS Storstad, a Norwegian collier, near the mouth of Saint Lawrence River in Canada, sinking in 14 minutes. 1,012 people died.",1914,Infrastructure,
34,"On January 11, 1914, Sakurajima erupted which resulted in the death of 35 people. In addition, the surrounding islands were consumed, and an isthmus was created between Sakurajima and the mainland.",1914,Natural Disaster,
35,The Panama Canal is completed in 1914.,1914,Africa,
36,World War I from 1914 until 1918 dominates the Western world.,1914,Europe,
37,Harry Brearley invented stainless steel.[9],1914,Technology,
38,"The Model T Ford dominated the automobile market, selling more than all other makers combined in 1914.[11]",1914,Technology,
39,Max von Laue discovers the diffraction of x-rays by crystals.[15],1914,Science  ,
40,Flying Squadron of America promotes temperance movement in the United States.,1914,Cultural,
41,"Charlie Chaplin débuts his trademark mustached, baggy-pants ""Little Tramp"" character in Kid Auto Races at Venice in 1914.",1914,Cultural,
42,"The Armenian genocide during and just after World War I. It was characterized by the use of massacres and deportations involving forced marches under conditions designed to lead to the death of the deportees, with the total number of Armenian deaths generally held to have been between one and one-and-a-half million.[1][2][3]",1915,Armenia,
43,"On May 7, 1915, the British ocean liner RMS Lusitania was torpedoed by U-20, a German U-boat, off the Old Head of Kinsale in Ireland, sinking in 18 minutes. 1,199 people died.",1915,Infrastructure,
44,United States occupation of Haiti (1915–1934),1915,Politics,
45,The Arab Revolt was an armed uprising of Arabs against the Ottoman Empire.,1916,Middle East,
46,"The Xinhai Revolution causes the overthrow of China's ruling Qing dynasty, and the establishment of the Republic of China. The Warlord Era (1916–1928) began.",1916,Asia ,
47,The Easter Rising against the British in Ireland eventually leads to Irish independence.,1916,Ireland,
48,"On November 21, 1916, HMHS Britannic was holed in an explosion while passing through a channel that had been seeded with enemy mines and sank in 55 minutes.",1916,Infrastructure,
49,"In 1916, the Netherlands was hit by a North Sea storm that flooded the lowlands and killed 19 people.",1916,Natural Disaster,
50,"From July 1 to July 12, 1916, a series of shark attacks, known as the Jersey Shore shark attacks of 1916, occurred along the Jersey Shore, killing four and injuring one.",1916,Cultural,
51,"In 1916, Albert Einstein's theory of general relativity.[14]",1916,Science  ,
52,Summer Olympics were cancelled because of World War I.,1916,Sports,
53,United States occupation of the Dominican Republic (1916–1924),1916,Politics,
54,The October Revolution in Russia results in the overthrow of capitalism and the establishment of the world's first self-proclaimed socialist state; political upheaval in Russia culminating in the establishment of the Russian SFSR and the assassination of Emperor Nicholas II and the royal family.,1917,Cold War,
55,"The Russian Revolution is the collective term for the series of revolutions in Russia in 1917, which destroyed the Tsarist autocracy and led to the creation of the Soviet Union. It led to the Russian Civil War and other conflicts such as the Finnish Civil War, the Ukrainian War of Independence and the Polish–Soviet War.",1917,Cold War,
56,"Rise to power of the Bolsheviks in Russia under Vladimir Lenin, creating the Russian Soviet Federated Socialist Republic, the first state committed to the establishment of communism.",1917,Cold War,
57,The Balfour Declaration was a declaration by the British Government that announced the British desire to establish a Jewish homeland in Palestine. This declaration has often been characterized as a betrayal of the Arabs and the agreement between the British and Sharif Hussein of Mecca in the McMahon-Hussein Correspondence which promised freedom to all Arab lands from the Ottoman Empire.[4][5][6],1917,England,
58,"In 1917, the Halifax Explosion killed 2,000 people.",1917,Natural Disaster,
59,Gideon Sundback patented the first modern zipper.[8],1917,Technology,1957-01-20 00:00:00
60,"The first African American owned studio, the Lincoln Motion Picture Company, was founded in 1917.",1917,Civil Rights,8/1957 - 4/1958
61,The first jazz music is recorded by the Original Dixieland Jass Band for Victor (#18255) in late February 1917.,1917,Cultural,
62,Russian Civil War (November 1917 – October 1922),1917,Cold War,
63,Latvian War of Independence (1918–1920) – a military conflict in Latvia between the Republic of Latvia and the Russian SFSR.,1918,Cold War,
64,Germany abolished its monarchy and became under the rule of a new elected government called the Weimar Republic.,1918,Europe,
65,Fourteen Points as designed by United States President Woodrow Wilson advocates the right of all nations to self-determination.,1918,Politics,
66,"From 1918 through 1920, the Spanish flu killed from 17.4 to 100 million people worldwide.",1918,Health,
67,"The four Warner brothers, (from older to younger) Harry, Albert, Samuel, and Jack opened their first major film studio in Burbank in 1918.",1918,Cultural,
68,"Tarzan of the Apes starring Elmo Lincoln is released in 1918, the first Tarzan film.",1918,Cultural,
69,Franco-Turkish War (December 1918 – October 1921),1918,Europe,
70,Allied intervention in the Russian Civil War (1918–1925),1918,Cold War,
71,"Women's suffrage movement continues to make gains as women obtain full voting rights in the United Kingdom in 1918 (women over 30) and in 1928 (full enfranchisement), in the United States in 1920. Also : full or partial gains in Uruguay 1917; Canada, 1917–1925 except Quebec (1940); Czechoslovakia 1920; Irish Free State, 1922; Burma, 1922; Italy, 1925 (partial); Ecuador 1929.",1918,Feminism,
72,Germany signs the Treaty of Versailles after losing the First World War.,1919,Europe,
73,"The Jallianwala Bagh massacre (1919), at Amritsar in the Punjab Province of British India, sows the seeds of discontent and leads to the birth of the Indian independence movement.",1919,Asia ,
74,"In 1919, the Great Molasses Flood in Boston, Massachusetts killed 21 people and injured 150.",1919,Natural Disaster,
75,Turkish War of Independence,1919,Europe,
76,Greco-Turkish War (May 1919 – October 1922),1919,Europe,
77,Royalist and separatist revolts (1919–1923),1919,Europe,4/1960 - 2/1961
78,Kuwait–Saudi War (1919–1920),1919,Middle East,
79,Hejaz–Saudi War (1919–1925),1919,Middle East,
80,Polish–Soviet War (February 1919 – March 1922),1919,Europe,
81,Irish War of Independence (January 1919 – July 1921),1919,Ireland,
82,Third Anglo-Afghan War (May – August 1919),1919,Middle East,
83,"Prohibition of alcohol occurs in the United States. Prohibition in the United States began January 16, 1919, with the ratification of the Eighteenth Amendment to the U.S. Constitution, effective as of January 17, 1920, and it continued throughout the 1920s. Prohibition was finally repealed in 1933. Organized crime turns to smuggling and bootlegging of liquor, led by figures such as Al Capone, boss of the Chicago Outfit.",1919,Legal,
84,Major armed conflict in Ireland including Irish War of Independence (1919–1921) resulting in part of Ireland becoming an independent country in 1922 followed by the Irish Civil War (1922–1923).,1919,Ireland,
85,Turkish War of Independence (1919–1923).,1919,Europe,
86,Turkish–Armenian War (September–December 1920),1920,Armenia,
87,Iraqi Revolt (1920),1920,Middle East,
88,Rif War (1920–1927),1920,Africa,
89,Vlora War (1920),1920,Europe,1961-01-20 00:00:00
90,Tambov Rebellion (August 1920 – June 1921),1920,Cold War,
91,Patagonia Rebelde (1920–1922),1920,South America,
92,Mahmud Barzanji revolts (1920–1922),1920,Middle East,
93,Rise of radical political movements such as communism led by the Soviet Union and fascism led by Italy.,1920,Cold War,
94,League of Nations and associated bodies as experiments in international cooperation and prevention of wars followup treaties for the Limitation of Naval Armament,1920,Europe,
95,"The Osage Indian murders of the 1920s lead to the federal government launching the first large scale investigation by the recently formed Bureau of Investigation, which would later become the Federal Bureau of Investigation (FBI).[4]",1920,Civil Rights,
96,"The Lost Generation (which characterized disillusionment), was the name Gertrude Stein gave to American writers, poets, and artists living in Europe during the 1920s. Famous members of the Lost Generation include Cole Porter, Gerald Murphy, Patrick Henry Bruce, Waldo Peirce, Ernest Hemingway, F. Scott Fitzgerald, Zelda Fitzgerald, Ezra Pound, John Dos Passos, and Sherwood Anderson.",1920,Cultural,
97,"A peak in the early 1920s in the membership of the Ku Klux Klan of four to five million members (after its reemergence in 1915), followed by a rapid decline down to an estimated 30,000 members by 1930.[5]",1920,Civil Rights,
98,Polish–Soviet War (1920–1921); Poland defeats Soviet expansion; Ukraine and Belarus were divided.,1920,Europe,
99,"In Germany, the Weimar Republic suffers from economic crisis in the early 1920s and hyperinflation of currency in 1923. From 1923 to 1925 the Occupation of the Ruhr takes place. The Ruhr was an industrial region of Germany taken over by the military forces of the French Third Republic and Belgium, in response to the failure of the Weimar Republic under Chancellor Wilhelm Cuno to keep paying the World War I reparations. The recently formed fringe National Socialist German Workers' Party (a.k.a. Nazi Party) led by Adolf Hitler attempts a coup against the Bavarian and German governments in the 1923 Beer Hall Putsch, which fails, resulting in Hitler being briefly imprisoned for one year in prison where he writes Mein Kampf.",1920,Europe,
100,Pan-Africanist supporters of Marcus Garvey's Universal Negro Improvement Association and African Communities League (UNIA-ACL) are repressed by colonial powers in Africa. Garvey's UNIA-ACL supported the creation of a state led by black people in Africa including African Americans.,1920,Civil Rights,
101,"The 1920 Haiyuan earthquake struck central China on 16 September with a magnitude of 8.2 on the moment magnitude scale, killing 273,407.",1920,Natural Disaster,
102,"Youth culture of the Lost Generation; flappers, the Charleston, and the bob cut haircut.",1920,Cultural,
103,"Fads such as marathon dancing, mah-jong, crossword puzzles and pole-sitting are popular.",1920,Cultural,
104,The height of the clip joint.,1920,Cultural,
105,"The Harlem Renaissance centered in a thriving African American community of Harlem, New York City.",1920,Civil Rights,
106,Since the 1920s scholars have methodically dug into the layers of history that lie buried at thousands of sites across China.,1920,Cultural,1963-11-22 00:00:00
107,Newly improved latex condoms resulted in soaring condom sales in the United States.,1920,Cultural,
108,Charles Strite invented the first pop-up bread toaster.[10],1921,Technology,
109,Russian famine of 1921–22 claimed up to five million victims.[6],1921,Cold War,
110,Average annual inflation for the decade was virtually zero but individual years ranged from a high of 3.47% in 1925 to a deflationary −11% in 1921.,1921,Economics,
111,Transjordan-Saudi War (1922–1924),1922,Middle East,
112,"Irish Civil War (June 28, 1922 – May 24, 1923)",1922,Ireland,
113,Irish Free State gains independence from the United Kingdom in 1922.,1922,Ireland,
114,"Egypt officially becomes an independent country through the Declaration of 1922, though it still remains under the military and political influence of the British Empire.",1922,Africa,
